ID,height,diameter,Vis
G101,1.82,3,0.929681103
G101,2.05,2.9,0.821914494
G101,2.11,,
G101,1.71,3,0.792818851
G101,1.4,,
G101,1.62,3,0.77
G102,1.04,3,0.868178233
G102,0,2.5,0.725429325
G102,1.83,2.4,0.909708753
G102,1.34,,
G102,1.48,8,0.927685715
G102,2.83,,
G102,1.54,7,0.95073526
G102,2.36,2,0.825
G102,2.84,8,0.95
G102,0.24,,
G102,1.28,,
G102,1.45,,
G102,2.39,,
G102,1.83,,
G102,1.12,,
G102,2.52,,
G103,1.77,7,0.88212674
G103,0.78,,
G103,1.93,1,0.941316603
G103,1.41,,
G103,1.68,,
G103,1.97,3,0.74268882
G103,1.71,2.2,0.893154241
G103,1.52,1.5,0.818893333
G103,1.64,,
G103,2.38,,
G103,2.98,,
G103,1.07,,
G103,2.72,5,0.875
G103,2.01,,
G103,1.79,,
G103,1.24,,
G103,1.35,,
G106,0.45,23,0.950971877
G106,1.07,,
G106,1.2,5.5,0.975024109
G106,0.62,,
G106,1.11,0.5,0.804228118
G106,1.68,,
G106,1.73,,
G106,1.6,,
G106,0.29,,
G106,1.14,2.3,0.898197053
G106,1.09,6.5,0.961873478
G106,1.01,,
G107,0.28,22,0.751710196
G109,1.89,6.5,0.823788471
G109,1.5,,
G109,1.39,1,0.55
G109,1.48,8,0.958143088
G109,2.2,4,0.898613516
G109,2.59,,
G110,3.03,,
G110,2.03,6.5,0.863991093
G110,1.47,4,0.967282311
G110,2.3,3,0.952454748
G110,2.6,3,0.957086179
G110,4.7,,
G110,2.57,3.5,0.7459121
G110,3.07,,
G110,1.61,,
G110,2.73,,
G110,1.69,2,0.89767458
G110,1.85,,
G110,1.95,,
G110,3.17,,
G110,1.52,,
G110,1.42,,
G112,0.49,2.5,0.945324207
G112,1.28,,
G112,2.17,6,0.883298862
G112,0.78,3,0.885784359
G112,2.54,,
G112,0.91,,
G112,1.98,,
G112,1.95,,
G112,0.56,3,0.814002776
G112,1.27,,
G112,1.55,1.5,0.931016937
G112,1.82,,
G112,0.63,,
G112,1.75,,
G112,3.24,3,0.975
G112,0.7,,
G112,0.66,,
G112,0.68,,
G112,1.05,,
G112,0.85,,
G112,0.64,,
G112,2.54,,
G113,0,10,0.71
G113,0.45,3.5,0.5
G113,0,rock,0.65
G113,0.25,,
G114,1.64,,
G114,1.97,2.5,1
G114,2.3,4,0.709044042
G114,2.54,7,0.892848242
G114,2.52,4,0.65191896
G115,0.86,2,0.585
G115,1.56,wall,1
G115,3.29,,
G117,4.5,15,0.952720762
G117,1.9,2.5,0.754367422
G117,4.8,,
G117,2.74,,
G117,2.67,,
G119,1.78,9,0.864396538
G119,1.84,9,0.966717274
G119,1.71,4,0.827339048
G119,1.99,2,0.856756215
G119,0.7,4.5,0.996336878
G119,0.63,7,0.514235793
G119,1.96,,
G120,2.91,4,0.749040774
G122,1.34,2.5,0.95586517
G122,1.55,,
G122,1.7,,
G122,2.56,5,0.942834924
G122,2.44,13,0.954615494
G122,2.33,,
G122,1.26,6.5,0.923616559
G122,0.86,3.8,0.984464871
G122,1.23,,
G122,1.08,3.4,0.955397095
G122,1.62,,
G122,1.92,,
G122,1.84,,
G122,0.17,,
G123,1.01,1.5,0.612292729
G127,1.47,3,0.774327699
G127,1.46,,
G127,1.81,,
G128,0.62,1,0.729741633
G129,0.47,2.5,0.910297538
G129,1.96,4.5,0.976394863
G129,0.52,1.5,0.871239894
G129,0.42,,
G129,0.46,3,0.771741093
G129,0.81,6,0.943626564
G129,1.14,2.6,0.865476096
G129,1.56,,
G129,1.07,,
G129,1.46,,
G129,0.94,,
G131,0.77,3,0.972973056
G131,0.4,,
G131,1.94,7,0.912934033
G131,0.67,,
G131,2.12,,
G131,1.35,4,0.884040524
G133,0.38,2.5,0.857636753
G133,0.43,,
G133,0.26,4,0.890781912
G133,0.66,2.2,0.9
G133,1.03,4.5,0.779121991
G133,0.49,3.4,0.853497279
G133,1.24,,
G137,1.09,3,0.820073059
G138,1.2,15,0.6
G138,2.5,5.5,0.882937195
G138,2.57,10,0.725
G138,1.54,,
G138,1.24,,
G138,2.62,,
G140,0.84,2,0.886813203
G140,1.647,,
G140,2.74,3,0.65
G140,3.07,,
G140,2.74,3,0.65
G142,0.62,1.5,0.794461631
G142,1.13,,
G142,1.17,,
G146,1.2,11,0.915166451
G146,1.2,10,0.707769888
