species,ID,dewsize1,dewsize2,dewsize3,dewsizemax,sex,svl,height,diameter,inclination,visibilitygroup,visibility,minobserved,dewlappermin,pushbobpermin,movepermin,95%MCP
grahami,G123,0.092,0.098,,0.098,m,43,1.01,1.5,0,bottom,0.612292729,0,,,,
grahami,G113,0.081,0.102,,0.102,m,45,0.175,6.75,59.33333333,bottom,0.62,40,0.075,0,0.45,0.9668063
grahami,G337,0.093,0.097,,0.097,m,46,1.046666667,8.75,25,bottom,0.669764791,12,0,0,1.166666667,
grahami,G300,0.204,0.259,,0.259,m,56,1.201428571,2.5,71.25,bottom,0.697084512,52,0,0,1.346153846,13.71536
grahami,G140,0.331,0.337,,0.337,m,62,2.2074,2.666666667,45,bottom,0.728937734,40,1.25,0.825,0.85,4.703858
grahami,G128,0.213,0.193,,0.213,m,56,0.62,1,20,bottom,0.729741633,0,,,,
grahami,G138,0.374,0.336,,0.374,m,63,1.945,10.16666667,25,bottom,0.735979065,39,0.897435897,0.512820513,1.282051282,6.493587
grahami,G338,0.176,0.17,,0.176,m,50,1.05,3,85,bottom,0.746194653,0,,,,
grahami,G120,0.074,0.077,,0.077,m,43,2.91,4,50,bottom,0.749040774,0,,,,
grahami,G107,0.103,0.111,,0.111,m,42,0.28,22,28,bottom,0.751710196,0,,,,
grahami,G127,0.091,0.085,,0.091,m,45,1.58,3,10,bottom,0.774327699,0,,,,
grahami,G324,0.192,0.187,,0.192,m,52,1.855,1.5,89,bottom,0.787876604,18,0.666666667,0,1.555555556,
grahami,G115,0.222,0.201,,0.222,m,54,1.903333333,2,0,bottom,0.7925,20,0,0,0.5,
grahami,G142,0.144,0.152,,0.152,m,46,0.973333333,1.5,15,bottom,0.794461631,0,,,,
grahami,G109,0.11,0.099,0.138,0.138,m,46,1.841666667,4.875,49.25,bottom,0.807636269,60,0.683333333,0.666666667,1.2,121.6307
grahami,G301,0.335,0.375,,0.375,m,64,1.201428571,3.45,45.16666667,bottom,0.808304712,95,0.410526316,0.231578947,0.578947368,35.46223
grahami,G329,0.243,0.263,,0.263,m,60,1.878,2.75,85,middle,0.808627075,20,0.3,0,0.5,11.37898
grahami,G146,0.5,0.43,0.501,0.501,m,68,2.215,12,46,middle,0.811468169,39,1.230769231,0.153846154,0.58974359,0.6898293
grahami,G114,0.279,0.304,,0.304,m,56,2.194,4.375,12.75,middle,0.813452811,80,0.125,0.025,0.6125,1.919759
grahami,G137,0.088,0.101,,0.101,m,43,1.09,3,2,middle,0.820073059,0,,,,
grahami,G326,0.159,0.174,,0.174,m,51,2.29,6.25,80,middle,0.822400116,20,0,0,0.45,
grahami,G331,0.418,0.458,,0.458,m,66,2.08625,11.66666667,24.66666667,middle,0.823771297,40,0.875,0.6,2.55,17.73181
grahami,G101,0.273,0.239,,0.273,m,56,1.785,2.975,60.25,middle,0.828603612,57,0.263157895,0.385964912,0.842105263,7.713301
