species,ID,dewsize1,dewsize2,dewsize3,dewsizemax,sex,svl,height,diameter,inclination,visibilitygroup,visibility,minobserved,dewlappermin,pushbobpermin,movepermin,95%MCP
lineatopus,L150,0.489,0.529,,0.529,m,52,1.315714286,0.75,10,bottom,0.375,0,,,,10.00904
lineatopus,L153,0.182,0.214,,0.214,m,44,1.11,1,52.5,bottom,0.591901471,20,0,0.05,0.6,46.40433
lineatopus,L129,0.431,0.516,0.451,0.516,m,56,0.691428571,3.7,53,bottom,0.693609918,78,0.153846154,0.217948718,0.230769231,29.45477
lineatopus,L331,0.409,0.371,,0.409,m,54,0.94,1.5,85,bottom,0.736223454,0,,,,
lineatopus,L108,0.423,0.438,,0.438,m,55,0.734117647,3.833333333,19.33333333,bottom,0.746195481,100,0.11,0.56,0.63,47.64309
lineatopus,L127,0.097,0.094,,0.097,m,42,0.555,5.833333333,60.33333333,bottom,0.7463244,40,0,0.05,0.575,2.124958
lineatopus,L122,0.326,0.278,,0.326,m,49,1.261538462,3.475,42,bottom,0.790463863,60,0.216666667,0.116666667,0.533333333,23.56108
lineatopus,L138,0.179,0.181,,0.181,m,47,0.052,4.5,70.5,bottom,0.791533548,15,0,0,1.266666667,18.89165
lineatopus,L144,0.523,0.554,,0.554,m,56,1.2475,4,44,bottom,0.792306833,20,0.2,0.4,1.1,7.155342
lineatopus,L123,0.384,0.389,,0.389,m,53,0.86,3.7,16.2,bottom,0.795123137,60,0.033333333,0.3,0.166666667,21.70439
lineatopus,L158,0.417,0.397,,0.417,m,50,0.876666667,2.666666667,1.666666667,bottom,0.798601665,34,0.470588235,0.5,0.294117647,
lineatopus,L160,0.194,0.191,,0.194,m,44,0.89,2,30,bottom,0.808511281,0,,,,
lineatopus,L141,0.285,0.272,,0.285,m,49,1.021428571,2.9,20,bottom,0.812246231,40,0.25,0.125,0.2,117.207
lineatopus,L101,0.377,0.388,,0.388,m,53,1.118571429,6.083333333,33.5,bottom,0.814496756,90,0.422222222,0.688888889,0.377777778,11.6976
lineatopus,L321,0.158,0.169,,0.169,m,46,0.93,3.5,0,bottom,0.815518099,0,,,,
lineatopus,L103,0.372,0.375,,0.375,m,57,0.573333333,4.333333333,60.33333333,bottom,0.816814595,20,0.3,0.1,1.4,
lineatopus,L334,0.213,0.198,,0.213,m,43,0.94,0.8,90,bottom,0.832442575,0,,,,
lineatopus,L318,0.676,0.718,,0.718,m,55,0.863333333,1.7,50,bottom,0.839242264,40,0.5,0.2,1.15,0.7808986
lineatopus,L145,0.44,0.459,,0.459,m,55,0.819090909,4.875,22,bottom,0.852403283,55,0.090909091,0.2,0.509090909,9.229314
lineatopus,L137,0.111,0.133,,0.133,m,49,0.744444444,2.428571429,33.28571429,middle,0.858013065,96,0.010416667,0.302083333,0.21875,26.43581
lineatopus,L176,0.394,0.415,,0.415,m,54,1.555,12,1,middle,0.862056197,0,,,,
lineatopus,L118,0.427,0.482,,0.482,m,60,1.201818182,4.325,26.25,middle,0.866756671,60,0.516666667,0.566666667,0.533333333,22.78725
lineatopus,L152,0.765,0.806,,0.806,m,61,0.963571429,11.4,50,middle,0.868827546,76,0.355263158,0.434210526,0.565789474,19.48964
lineatopus,L131,0.631,0.702,,0.702,m,61,1.252727273,2.75,17.5,middle,0.874963308,34,0,0,0.264705882,44.47801
lineatopus,L109,0.116,0.12,,0.12,m,43,0.2,2,58,middle,0.880932222,0,,,,
lineatopus,L148,0.673,0.692,,0.692,m,54,1.008571429,6.333333333,53.66666667,middle,0.886442066,40,0.275,0.25,0.25,16.83244
lineatopus,L139,0.165,0.163,,0.165,m,46,0.8,2,45,middle,0.893962399,20,0,0,0.15,
lineatopus,L308,0.178,0.188,,0.188,m,48,0.538333333,27.5,62,middle,0.894004187,40,0.125,0,0.7,74.07452
lineatopus,L159,0.475,0.484,,0.484,m,51,0.641,2.625,55.5,middle,0.894831863,50,0,1.1,0.9,62.51237
lineatopus,L355,0.511,0.489,,0.511,m,57,0.706666667,1.5,67.5,middle,0.895568174,20,0,0,0.05,
lineatopus,L324,0.103,0.129,,0.129,m,46,1.43,1.7,4,middle,0.895830603,0,,,,
lineatopus,L128,0.341,0.373,,0.373,m,48,0.88875,3.733333333,38.66666667,middle,0.899722861,37,0,0.054054054,0.486486486,30.21059
lineatopus,L112,0.505,0.494,,0.505,m,57,0.975,4.5,40.25,middle,0.8997769,60,0.233333333,0.316666667,0.55,32.35391
lineatopus,L142,0.533,0.562,,0.562,m,49,0.6525,7.75,90,middle,0.9,35,0.314285714,0.628571429,0.914285714,2.569332
lineatopus,L320,0.55,0.517,,0.55,m,54,0.858333333,3.733333333,6.666666667,middle,0.900911463,40,0.1,0.025,1.175,11.14068
lineatopus,L105,0.498,0.477,,0.498,m,55,1.110526316,4.571428571,43.28571429,middle,0.903922952,96,0.197916667,0.583333333,0.572916667,59.38051
lineatopus,L100,0.417,0.326,,0.417,m,55,1.155,2.166666667,29,middle,0.90455348,36,0,0,0.25,0.2135673
lineatopus,L311,0.392,0.416,,0.416,m,57,0.718125,4.083333333,59,middle,0.906951704,100,0.12,0.29,0.47,35.28849
lineatopus,L326,0.707,0.664,,0.707,m,64,0.957142857,3.75,36.8,top,0.907293556,68,0.397058824,1.382352941,1.147058824,29.7852
lineatopus,L149,0.737,0.824,,0.824,m,58,1.1,1.9,71.33333333,top,0.913182473,34,0.411764706,0.735294118,0.235294118,3.869111
lineatopus,L306,0.567,0.601,,0.601,m,65,1.13775,5.933333333,29.16666667,top,0.913815233,100,0.16,0.07,0.62,23.24803
lineatopus,L302,0.682,0.585,,0.682,m,59,0.776111111,3.383333333,25.83333333,top,0.918646038,98,0,0.153061224,0.06122449,65.00292
lineatopus,L341,0.221,0.202,,0.221,m,51,0.823333333,5,88,top,0.928405942,20,0.65,0.3,0.15,
lineatopus,L124,0.18,0.182,,0.182,m,50,0.4,6,90,top,0.931533936,0,,,,
lineatopus,L325,0.602,,,0.602,m,58,0.993333333,6.95,0,top,0.933302446,20,0.3,0,0.35,
lineatopus,L126,0.482,0.509,,0.509,m,54,1.106666667,3.5,0,top,0.934709631,20,1,0.3,0.45,
lineatopus,L307,0.607,0.722,,0.722,m,60,0.967058824,4.4,10.66666667,top,0.938821345,100,0.36,0.52,0.7,37.71832
lineatopus,L304,0.702,0.737,,0.737,m,59,0.74,4.66,18.33333333,top,0.944466499,100,0.46,0.98,0.76,37.66757
lineatopus,L169,0.251,0.282,,0.282,m,48.5,0.5775,0.5,51,top,0.95112713,0,,,,10.39288
lineatopus,L310,0.596,0.569,,0.596,m,58,0.852222222,4.233333333,9.666666667,top,0.953232722,96,0.229166667,1.697916667,1.395833333,62.82974
lineatopus,L147,0.523,0.638,,0.638,m,60,0.85,3.166666667,20,top,0.957472093,54,0.611111111,1.314814815,0.518518519,38.21573
lineatopus,L115,0.268,0.198,,0.268,m,49,0.744615385,6.333333333,46.75,top,0.958023824,80,0,0.1125,0.2625,14.72183
lineatopus,L167,0.404,0.418,,0.418,m,53,1.585,3,10,top,0.958410095,0,,,,
lineatopus,L329,0.559,0.528,,0.559,m,58,0.804285714,5,31.75,top,0.962550698,55,0.109090909,0.272727273,0.927272727,15.15327
lineatopus,L166,0.368,0.366,,0.368,m,49,1.16,1.5,25,top,0.978950533,0,,,,1.034609
lineatopus,L323,0.495,0.49,,0.495,m,53,0.463333333,3.5,0,top,0.997746075,0,,,,
lineatopus,L305,0.539,0.586,,0.586,m,56,0.85,4.5,5,top,1,0,,,,
lineatopus,L175,0.565,0.567,,0.567,m,54,1.74,,,,,0,,,,
lineatopus,L177,0.283,0.267,,0.283,m,51,1.28,,,,,0,,,,
