species,ID,dewsize1,dewsize2,dewsize3,dewsizemax,sex,svl,height,diameter,inclination,visibilitygroup,visibility,minobserved,dewlappermin,pushbobpermin,movepermin,95%MCP
valencienni,V100,0.312,0.269,,0.312,f,67,1.709166667,2.255555556,34.5,,0.881319757,180,0.038888889,0.25,1.188888889,32.66947
valencienni,V102,0.365,0.413,,0.413,f,58,1.3875,0.5,4,,0.896001289,0,,,,63.90899
valencienni,V104,0.271,0.281,,0.281,f,58,2.378,4,23.33333333,,0.778283715,30,0,0,3.666666667,11.26441
valencienni,V106,0.232,0.233,,0.233,f,55,1.858,4.56,56,,0.830905255,69,0,0.072463768,1.536231884,62.92858
valencienni,V107,0.227,0.277,,0.277,f,56,1.816,3.775,29.75,,0.813511718,20,0,0,1.4,15.26
valencienni,V108,0.173,0.211,,0.211,f,56,1.34,2.75,14,,0.669116463,50,0.06,0.18,1.16,
valencienni,V111,0.233,0.254,,0.254,f,58,1.614285714,1.666666667,30,,0.935642921,147,0.020408163,0.013605442,2.782312925,30.24358
valencienni,V112,0.25,0.211,,0.25,f,56,0.796666667,2.333333333,18.33333333,,0.817046095,78,0.012820513,0.076923077,0.5,
valencienni,V116,0.227,0.241,,0.241,f,58,1.633333333,1.233333333,49,,0.711642168,142,0,0,0.408450704,
valencienni,V126,0.292,0.271,,0.292,f,60,2.836666667,2.9,36.85714286,,0.867381074,307,0.048859935,0.009771987,0.495114007,644.1056
valencienni,V143,0.322,0.355,,0.355,f,58,3.0375,,,,,0,,,,3.039742
valencienni,V144,0.244,0.287,,0.287,f,58,2.08,,,,,0,,,,
valencienni,V151,0.323,0.355,,0.355,f,61,4.33,,,,,0,,,,
valencienni,V152,0.306,0.308,,0.308,f,59,3.414,,,,,0,,,,13.73594
valencienni,V154,0.266,0.341,,0.341,f,63,2.6,,,,,0,,,,
valencienni,V157,0.176,0.241,,0.241,f,56,2.36,,,,,0,,,,
valencienni,V160,0.173,0.214,,0.214,f,57,2.965,,,,,0,,,,
valencienni,V161,0.317,0.273,,0.317,f,60,3.675,2,80,,0.89,155,0.070967742,0,0.296774194,
valencienni,V101,0.427,0.383,,0.427,m,62,1.731333333,2.37,37.2,,0.853443922,193,1.300518135,0.170984456,0.979274611,213.0826
valencienni,V103,0.536,0.5,,0.536,m,61,2.18,3,48,,0.944135755,0,,,,
valencienni,V105,0.258,0.311,,0.311,m,46,1.14,0.7,18,,0.625252711,0,,,,
valencienni,V110,0.502,0.604,,0.604,m,65,2.19,1.85,23,,0.89563462,60,0.483333333,0.333333333,0.7,
valencienni,V127,0.338,0.338,,0.338,m,56,2.98,1.4,55,,0.907359181,215,0.097674419,0,0.8,19.27653
valencienni,V135,0.777,0.594,,0.777,m,67,4.041428571,6.125,34.5,,0.89875,83,0.915662651,0.445783133,0.987951807,18.62111
valencienni,V142,0.615,0.669,,0.669,m,66,3.23,1,82,,0.938793468,53,0.037735849,0.056603774,0.981132075,
valencienni,V147,0.694,0.682,,0.694,m,71,3.1,,,,,0,,,,
valencienni,V148,0.846,0.721,,0.846,m,70,3.333333333,3.075,53.25,,0.94339739,217,1.32718894,0.382488479,0.571428571,23.26505
valencienni,V149,0.677,0.602,,0.677,m,70,2.395,,,,,0,,,,
valencienni,V150,0.227,0.238,,0.238,m,57,2.43,,,,,0,,,,
valencienni,V153,0.291,0.298,,0.298,m,61,2.31,,,,,0,,,,
valencienni,V162,0.355,0.429,,0.429,m,61,1.49,0.5,85,,0.943524271,0,,,,
valencienni,V163,0.64,,,0.64,m,67,2.47,4.5,10,,0.919723172,0,,,,
valencienni,V164,0.654,0.655,,0.655,m,69,1.703333333,1.1,38.33333333,,0.87647134,90,0.355555556,0.088888889,1.288888889,
